deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.23838687;42.82151699;-0.00205685;-0.01587509;-1.48289454;-0.00033047;-0.00028863;0.00025240 
0.25145817;43.07297516;-0.00217531;-0.01574596;-1.48282743;-0.00009500;-0.00041769;0.00070864 
0.24830079;43.32127595;-0.00228983;-0.01590518;-1.48283815;-0.00001628;-0.00155906;-0.00062439 
0.24706721;43.56834316;-0.00251269;-0.01601449;-1.48274040;0.00014758;-0.00007579;0.00159815 
0.25448751;43.82283068;-0.00248561;-0.01612515;-1.48270750;-0.00028759;-0.00055815;0.00130332 
0.24300671;44.06583738;-0.00266565;-0.01626972;-1.48261487;0.00038287;-0.00108412;0.00165774 
0.25321984;44.31905723;-0.00276492;-0.01638934;-1.48262691;-0.00049744;-0.00042295;0.00030812 
0.26987481;44.58893204;-0.00270206;-0.01658009;-1.48248219;-0.00072731;0.00014406;0.00145458 
0.24407077;44.83300281;-0.00279510;-0.01674830;-1.48237586;-0.00127274;-0.00133510;0.00076358 
0.23857474;45.07157755;-0.00283737;-0.01690181;-1.48233473;-0.00077926;-0.00086313;0.00029576 
0.24815011;45.31972766;-0.00297442;-0.01708473;-1.48225653;-0.00015383;-0.00102111;0.00063460 
0.24284983;45.56257749;-0.00296336;-0.01714809;-1.48211515;0.00047374;-0.00078520;0.00244676 
0.25851154;45.82108903;-0.00295691;-0.01704661;-1.48201776;-0.00015914;-0.00218295;0.00414389 
0.25908637;46.08017540;-0.00227546;-0.01687179;-1.47808301;0.01891536;0.02755785;0.00029403 
0.23841143;46.31858683;-0.00078120;-0.01271114;-1.48101282;-0.02360350;-0.06393918;-0.02434219 
0.25411344;46.57270026;-0.00003901;-0.01136736;-1.48487413;0.00880847;0.01196738;-0.00469348 
0.26010728;46.83280754;0.00309676;-0.00732134;-1.49043465;0.03919559;0.04712295;-0.04897004 
0.24541259;47.07822013;-0.00040816;-0.01371124;-1.47904885;0.02983548;-0.00465992;0.01417654 
0.24371004;47.32193017;-0.00144413;-0.01533952;-1.47787511;-0.01052023;-0.01056832;0.00024554 
0.25826335;47.58019352;-0.00119555;-0.01555284;-1.47776902;0.00166172;0.00303856;-0.01425066 
